OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,Cul_count,Cul_mean,Cul_median,Cul_stdev,Cul_min,Cul_max,Cul_Range,BF_count,BF_mean,BF_median,BF_stdev,BF_min,BF_max,BF_Range,Mid_count,Mid_mean,Mid_median,Mid_stdev,Mid_min,Mid_max,Mid_Range,CulG_count,CulG_mean,CulG_median,CulG_stdev,CulG_min,CulG_max,CulG_Range,BFG_count,BFG_mean,BFG_median,BFG_stdev,BFG_min,BFG_max,BFG_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range,MidG_count,MidG_mean,MidG_median,MidG_stdev,MidG_min,MidG_max,MidG_Range,HSPG_count,HSPG_mean,HSPG_median,HSPG_stdev,HSPG_min,HSPG_max,HSPG_Range,Sat_count,Sat_mean,Sat_median,Sat_min,Sat_max,Sat_stdev,Sat_Range
3085,459220086,Ketty's Kitchen,yes,5,destroyed,3,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1007,0.124641338,0.073190607,0.000548954,0.746611834,0.143514646,0.74606288
3093,480199021,,yes,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0
3098,496096563,,yes,2,partial,1,,,,,,,0,7095,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,7095,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1205,0.147185158,0.097518861,6.5743E-07,0.639215708,0.142830678,0.63921505
3099,496096565,,yes,3,significant,2,,,,,,,0,5543,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,5543,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,932,0.099139943,0.067049347,8.93757E-05,0.374554098,0.084420038,0.374464722
3100,496271773,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,778,0.04742452,0.030098926,0.000109581,0.468676358,0.060218493,0.468566778
3101,496271774,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1124,0.074489561,0.048091285,0.000286775,0.461963266,0.07080094,0.461676491
3102,496271775,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1383,0.107136748,0.106667958,0.000898466,0.338448197,0.054738556,0.337549731
3103,496271776,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,436,0.045579524,0.034959391,5.96671E-05,0.183483228,0.040309398,0.183423561
3104,496271777,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,443,0.36899056,0.435297728,0.036221366,0.471559465,0.107264811,0.435338099
3105,496271778,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,324,0.397710462,0.420412451,0.028938418,0.604129016,0.066605588,0.575190598
3106,496271779,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,462,0.090573098,0.088774562,0.001619196,0.246390507,0.039654628,0.244771311
3107,496271780,,yes,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,450,0.042142719,0.030372022,0.000109581,0.268109351,0.045600002,0.267999771
3108,496271781,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,363,0.097238808,0.095044896,0.002232257,0.324940652,0.049184508,0.322708395
3109,496272069,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1011,0.064972677,0.058298897,0.000383271,0.32047388,0.046303704,0.320090608
3110,496272070,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1023,0.063590875,0.070465438,0.00080297,0.285179585,0.036276361,0.284376615
3111,496272071,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,380,0.070175247,0.056594402,0.002867127,0.253251106,0.054423138,0.250383978
3112,496272072,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,348,0.059072866,0.047059879,0.001209231,0.240616858,0.04089358,0.239407627
3113,496272073,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,396,0.058138775,0.048303176,0.004597765,0.232773721,0.037675986,0.228175956
3114,496272074,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,324,0.246590385,0.294458389,0.00101525,0.443940222,0.103184303,0.442924973
3115,496272075,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,480,0.067741431,0.05406756,0.001504344,0.460397393,0.06778169,0.458893049
3116,496272076,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,448,0.041646785,0.030308984,0.00048106,0.176347792,0.031772356,0.175866732
3117,496272077,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,447,0.061954288,0.038152121,0.00066831,0.374851406,0.063434867,0.374183096
3118,496272078,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,462,0.078808451,0.070873477,0.001273137,0.175572127,0.039085756,0.17429899
3119,496272079,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,434,0.031239933,0.022372015,5.96671E-05,0.245990515,0.031358596,0.245930848
3120,496272080,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,441,0.042345914,0.023889557,0.00081856,0.470474362,0.066190274,0.469655802
3121,496272227,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,341,0.057122974,0.045406241,0.000245935,0.240720034,0.045262661,0.240474099
3122,496272228,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,311,0.063486197,0.046944954,0.000109581,0.242122009,0.060468345,0.242012429
3123,496272229,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,385,0.086318315,0.05425676,9.27366E-05,0.481454462,0.088653646,0.481361725
3124,496272230,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,351,0.132785837,0.124576382,0.000398049,0.378294766,0.074366312,0.377896717
3125,496272231,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,380,0.059912483,0.050115522,5.7554E-05,0.357984453,0.053727232,0.357926899
3127,515913607,,yes,2,significant,2,,,,,,,0,6188,0.330296469,0.339852691,0.138816269,0.000513922,0.821893752,0.821379829,,,,,,,0,,,,,,,0,6188,0.146294765,0.124377377,0.11680942,5.5011E-05,0.626350224,0.626295213,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1048,0.25892764,0.23372516,0.000507499,0.545434356,0.144178524,0.544926857
