OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range
16368,525652802,,yes,3,none,0,2682,0.172402429,0.16418983,0.106173909,0.000162503,0.585186839,0.585024336,2682,0.138686226,0.121881664,0.098117351,0.000333133,0.567968667,0.567635534
12420,525371134,,yes,3,none,0,778,0.145274553,0.123237565,0.106582765,0.000444135,0.461584806,0.461140672,778,0.086230648,0.052878693,0.081443272,0.000412976,0.482930332,0.482517356
7711,521575769,,yes,1,none,0,3671,0.168217233,0.158099815,0.107066673,3.23E-05,0.720923722,0.720891421,3671,0.158363265,0.155059621,0.101942579,6.12E-06,0.761181772,0.761175648
6630,521552582,,yes,1,none,0,5915,0.122304897,0.095829509,0.107678513,2.36E-05,0.838948309,0.838924717,5915,0.115716125,0.074958384,0.108986412,6.12E-06,0.838712037,0.838705912
6430,521543974,,yes,3,none,0,1751,0.166501883,0.152644426,0.108217578,2.91E-05,0.551044524,0.551015406,1751,0.110266649,0.09890788,0.087044727,0.001040402,0.574232638,0.573192236
11762,525132294,,yes,1,none,0,3433,0.136269768,0.110738166,0.108799927,3.23E-05,0.54603231,0.546000008,3433,0.141870487,0.150894314,0.08283779,4.57E-05,0.491965264,0.491919523
6556,521548821,,yes,3,none,0,2272,0.310617617,0.315612197,0.10948431,0.001559983,0.630988717,0.629428734,2272,0.130961491,0.076058924,0.140314122,0.000101349,0.668990016,0.668888667
6416,521543960,,yes,3,none,0,3930,0.118456677,0.082476497,0.109522664,2.36E-05,0.816212058,0.816188466,3930,0.098743003,0.078596942,0.085097893,4.57E-05,0.623523295,0.623477554
1952,366948692,,yes,1,none,0,2798,0.139365203,0.113330424,0.109666729,0.000383854,0.635339022,0.634955168,2798,0.157938137,0.160510674,0.105493159,4.85E-05,0.663896143,0.663847684
6657,521552865,,yes,3,none,0,3759,0.135005527,0.100723714,0.109807399,2.91E-05,0.799616158,0.799587041,3759,0.200827124,0.204214498,0.14273342,4.57E-05,0.824676454,0.824630713
6408,521543951,,yes,6,none,0,1920,0.13271913,0.106044918,0.110622118,2.91E-05,0.675035596,0.675006479,1920,0.102753791,0.092962638,0.076587916,0.000921191,0.634635329,0.633714139
9382,521648840,,house,4,none,0,5392,0.085986467,0.047182634,0.110751709,4.49E-05,0.624367416,0.624322538,5392,0.205757553,0.189071849,0.154386259,4.57E-05,0.655158162,0.655112421
6551,521548815,,yes,1,none,0,3415,0.197037711,0.198471129,0.11108762,4.49E-05,0.647710204,0.647665326,3415,0.154345376,0.145681769,0.097652842,6.12E-06,0.543639243,0.543633119
12452,525371167,,yes,1,none,0,2813,0.204916648,0.208417937,0.111613055,7.59E-05,0.742651641,0.74257575,2813,0.222619923,0.22456646,0.13484869,0.000165572,0.591878831,0.591713259
4686,521474181,,yes,1,none,0,3579,0.21881008,0.219099611,0.112363131,0.000114454,0.663588226,0.663473772,3579,0.125487022,0.089396149,0.119016746,1.04E-05,0.605173409,0.605162968
6423,521543967,,yes,1,none,0,4915,0.157095596,0.136576355,0.112538929,4.90E-05,0.717761517,0.717712493,4915,0.130105555,0.104326837,0.108578674,6.12E-06,0.724859357,0.724853233
9532,521674074,,yes,1,none,0,2994,0.287733151,0.291839421,0.112866761,0.000950149,0.62098074,0.620030591,2994,0.127597779,0.12092606,0.081426211,4.85E-05,0.460301965,0.460253506
6919,521561766,,yes,3,none,0,2439,0.187844086,0.179544449,0.113128563,4.90E-05,0.646515667,0.646466644,2439,0.128813719,0.08064995,0.135253062,8.70E-05,0.636305213,0.636218258
12505,525405442,,yes,1,none,0,462,0.15625204,0.13866353,0.113170822,0.000227509,0.488841057,0.488613548,462,0.262164633,0.275869548,0.124325818,0.000187899,0.578244567,0.578056668
6366,521543904,,yes,1,none,0,3630,0.172984328,0.158531725,0.116078188,0.000231111,0.635550797,0.635319686,3630,0.138194464,0.104167111,0.127458453,6.12E-06,0.827450991,0.827444867
9377,521648835,,house,3,none,0,2281,0.192062283,0.187588736,0.116126128,0.000123557,0.555966198,0.555842642,2281,0.217856503,0.196322531,0.137397016,0.000344305,0.691732526,0.691388221
7634,521571167,,yes,3,none,0,3239,0.136388184,0.098266721,0.116172797,8.43E-06,0.580777168,0.58076874,3239,0.121549422,0.142537102,0.088478558,0.000583734,0.500830591,0.500246857
12515,525405452,,yes,2,none,0,2152,0.196175554,0.194373071,0.116315779,2.36E-05,0.486673385,0.486649793,2152,0.150980386,0.119787283,0.119161298,0.000216662,0.542975903,0.542759241
11753,525132285,,yes,1,none,0,3522,0.171551197,0.149161398,0.116542562,0.000110152,0.636431098,0.636320946,3522,0.168322983,0.151259035,0.110778458,6.12E-06,0.681920409,0.681914285
6622,521552568,,yes,1,none,0,3989,0.187454615,0.166924119,0.11660452,0.000101469,0.685890675,0.685789205,3989,0.158987653,0.113725491,0.141042916,0.000216662,0.836305201,0.836088539
4559,521466779,,yes,3,none,0,1382,0.209901352,0.208689347,0.116672216,0.001021764,0.577001572,0.575979808,1382,0.199888583,0.15676859,0.153408662,0.00098662,0.777289212,0.776302592
9572,521832364,,yes,1,none,0,4865,0.198475704,0.196604222,0.116716059,3.23E-05,0.765454233,0.765421931,4865,0.190838856,0.19214642,0.093415895,9.67E-05,0.764705896,0.764609185
12539,525405659,,yes,2,none,0,565,0.240318656,0.213153616,0.117493405,8.43E-06,0.810128391,0.810119963,565,0.323547109,0.346867234,0.153965601,0.001040402,0.719442427,0.718402025
10071,524725444,,yes,1,none,0,3782,0.325732504,0.358235657,0.118348393,0.000256692,0.583894193,0.583637502,3782,0.148910581,0.142971843,0.101328469,6.12E-06,0.734811783,0.734805659
6374,521543917,,yes,4,none,0,621,0.137766619,0.093198016,0.118745719,0.000843115,0.576712251,0.575869136,621,0.133811996,0.102356367,0.11015928,0.000836554,0.532496452,0.531659899
1956,366953009,Ho Supermarket,yes,1,none,0,15902,0.177078504,0.162707269,0.118776707,3.23E-05,0.843137264,0.843104963,15902,0.147134383,0.134998143,0.107468623,4.57E-05,0.821529746,0.821484005
12596,525406574,,yes,1,none,0,2654,0.160784978,0.131550491,0.118820413,4.49E-05,0.609425783,0.609380905,2654,0.177666258,0.156231895,0.12686499,1.04E-05,0.713221788,0.713211348
6895,521561305,,yes,3,none,0,1343,0.167133143,0.132569045,0.119157718,0.000162563,0.676021993,0.67585943,1343,0.108788112,0.074253634,0.108218291,0.000236119,0.745495498,0.745259379
6555,521548820,,yes,1,none,0,7437,0.185514285,0.173445553,0.119193539,3.23E-05,0.808228135,0.808195834,7437,0.126223404,0.087908909,0.131769606,1.04E-05,0.858823538,0.858813097
9525,521672826,,yes,3,none,0,4467,0.145483537,0.107729994,0.119312435,7.59E-05,0.739328802,0.73925291,4467,0.278108916,0.152577922,0.162214349,0.008206394,0.75722599,0.749019597
8998,521625676,,yes,1,none,0,1122,0.203574667,0.191074103,0.119487416,0.000934245,0.603815913,0.602881668,1122,0.436195631,0.521931887,0.169580194,0.004284825,0.588598549,0.584313725
12391,525363631,,yes,3,none,0,2295,0.226913856,0.258947074,0.120238008,0.000114708,0.68965292,0.689538212,2295,0.153131594,0.131710351,0.075774308,0.000842136,0.57370007,0.572857935
12538,525405657,,yes,3,none,0,3716,0.150481048,0.107729994,0.120306658,0.000305959,0.833630323,0.833324364,3716,0.237099587,0.152577922,0.159566073,0.133696586,0.847422063,0.713725477
7391,521568383,,yes,1,none,0,4164,0.2224625,0.221720755,0.12035706,0.000162503,0.573679984,0.573517481,4164,0.13480027,0.109394483,0.100919065,6.12E-06,0.764705896,0.764699772
7187,521564354,,yes,3,none,0,1730,0.102416392,0.066856802,0.120389615,0.000398878,0.780836284,0.780437407,1730,0.111364944,0.061431706,0.126359695,0.000319541,0.763150334,0.762830793
6615,521552561,,yes,3,none,0,2144,0.265212235,0.274542093,0.120677539,0.000227509,0.697239578,0.697012069,2144,0.114049401,0.050143491,0.122422552,8.39E-05,0.505882382,0.505798443
5883,521520576,,yes,3,none,0,1141,0.138729833,0.109665863,0.120734566,2.90E-05,0.601773381,0.601744387,1141,0.515332927,0.533696592,0.122982316,0.01604953,0.839578927,0.823529396
12379,525363609,,yes,3,none,0,633,0.658612374,0.712407649,0.120736865,0.158397853,0.802954495,0.644556642,633,0.148283455,0.118979178,0.11491716,4.57E-05,0.545850039,0.545804298
12401,525363641,,yes,3,none,0,1231,0.244830472,0.246663854,0.12117018,0.001817412,0.671459794,0.669642382,1231,0.12959848,0.088706367,0.114271256,4.57E-05,0.655841649,0.655795908
10035,524724406,,yes,3,none,0,3878,0.149896934,0.117752865,0.121453688,8.43E-06,0.782561958,0.78255353,3878,0.139113368,0.137813285,0.064902069,0.000398237,0.733216345,0.732818108
